Energy_eV,Absorption
4865.40568254,-0.03545510520602031
4870.50504598,-0.0417337042828173
4875.52025572,-0.04948811752431278
4880.59969476,-0.058273203279004274
4885.65223129,-0.06623287457676967
4890.64867107,-0.07670789562757523
4895.72892974,-0.08740135030204384
4900.84988755,-0.09675992993352504
4905.87080219,-0.10693075186605398
4910.88352708,-0.11774438943735892
4915.90750019,-0.12699449383891348
4920.93296996,-0.13834417805245747
4925.9697173,-0.15136587022286943
4930.9882826,-0.1613168460557548
4936.05748312,-0.1721752457450615
4936.55024676,-0.1754163144829246
4937.03818895,-0.17584411242887463
4937.53609746,-0.17628162445754889
4938.0143904,-0.17868298605774308
4938.50264974,-0.17926498897498308
4939.03541693,-0.17979008081878306
4939.53376687,-0.18194635609002183
4940.09145729,-0.18080229729945055
4940.54560801,-0.18334550461189236
4941.06404397,-0.1843841361722429
4941.53814687,-0.18632554307258656
4942.0419904,-0.187775049565592
4942.50641644,-0.18802687618657601
4943.05495754,-0.190912760109723
4943.54430942,-0.1910914440028353
4944.11288171,-0.19333108405774405
4944.54805986,-0.19301910312909396
4945.07730998,-0.1950272566875187
4945.55225681,-0.19636089739242446
4946.05204832,-0.19825043357897065
4946.51730022,-0.19798344387450337
4947.07176805,-0.2009752510238153
4947.56694365,-0.201691117962805
4948.14148336,-0.20383388237259717
4948.55762057,-0.20715613310837191
4949.09772242,-0.20500434966128506
4949.56360199,-0.2071810819067191
4950.08411296,-0.20876831978078633
4950.52540183,-0.20914958602149233
4951.09077412,-0.2120210972345646
4951.57194784,-0.21224851041036813
4952.16735602,-0.21381761715297418
4952.56934517,-0.2132915072022147
4953.10544186,-0.2148027546611786
4953.57711345,-0.21589123126893833
4954.09358248,-0.21809223052236176
4954.53068683,-0.21939767160028995
4955.0920924,-0.22133592084946252
4955.57411801,-0.22283773155862432
4956.16063811,-0.22285741143735074
4956.57328143,-0.22356556063233932
4957.11530077,-0.2257980936202744
4957.57288598,-0.22582325418566537
4958.11016922,-0.22740845296119316
4958.53312068,-0.22826930635198855
4959.09551963,-0.22942652887764517
4959.57839826,-0.2310295862355393
4960.15599652,-0.2340942993888866
4960.5793301,-0.2338356971894449
4961.11234483,-0.23307627086657254
4961.57073811,-0.2359291654899352
4962.10398604,-0.23699882744524806
4962.52269849,-0.23779405230546705
4963.09606118,-0.23827536536255903
4963.569818,-0.2411092091786039
4964.1634004,-0.2410423434584312
4964.56752435,-0.24368008920878464
4965.10147748,-0.24326413222072957
4965.55568606,-0.24484549913759376
4966.09486481,-0.24528917921285492
4966.51431464,-0.24536984899648204
4967.08868717,-0.24346641756581996
4967.56327847,-0.2429030387949226
4968.15290902,-0.24137654276195505
4968.55774406,-0.2398609700317976
4969.09263683,-0.23301076294706388
4969.55264537,-0.23181709887207058
